event,x,y,speed,button,time,scroll,session_id
move,1084,424,535.4833029750654,,1736581562.6551516,,1736581533
move,1077,427,7641.8343543103865,,1736581562.6561482,,1736581533
move,1072,430,973.055815085431,,1736581562.6631293,,1736581533
move,1064,435,1352.92456655758,,1736581562.6701128,,1736581533
move,1055,446,791.6634837224346,,1736581562.6880693,,1736581533
move,1044,454,4545.351140201666,,1736581562.690059,,1736581533
move,1030,465,2231.3092991885833,,1736581562.6990335,,1736581533
move,1017,475,335.60692377542375,,1736581562.7469087,,1736581533
move,1000,486,20308.030383067453,,1736581562.7489007,,1736581533
move,979,494,11277.250484306867,,1736581562.7498984,,1736581533
move,957,505,24669.114654541383,,1736581562.7508955,,1736581533
move,934,517,26018.569071687194,,1736581562.7518926,,1736581533
move,903,532,3452.976481143487,,1736581562.761866,,1736581533
move,872,546,34065.90344021945,,1736581562.7638602,,1736581533
move,837,560,6299.921426408111,,1736581562.7688482,,1736581533
move,807,569,6282.613967223752,,1736581562.7748318,,1736581533
move,778,577,2741.0966550507205,,1736581562.7848084,,1736581533
move,756,583,1270.5044689084934,,1736581562.8027568,,1736581533
move,744,586,2067.041525712258,,1736581562.8087409,,1736581533
move,738,589,395.516412984591,,1736581562.8266928,,1736581533
move,738,587,77.1387532529633,,1736581562.852623,,1736581533
move,739,584,186.52688641439605,,1736581562.8685822,,1736581533
move,744,578,1956.5526761425062,,1736581562.8735678,,1736581533
move,750,569,1205.51454564094,,1736581562.8815467,,1736581533
move,761,563,1256.412500570426,,1736581562.8915195,,1736581533
move,777,552,4864.0418448814,,1736581562.8955114,,1736581533
move,796,545,1450.5488234126644,,1736581562.9094706,,1736581533
move,829,532,3950.6271121684363,,1736581562.9194465,,1736581533
move,853,524,1691.1596626434662,,1736581562.9334075,,1736581533
move,876,522,1543.1558123601542,,1736581562.9483683,,1736581533
move,887,518,5872.376752910403,,1736581562.9513595,,1736581533
move,897,516,851.8446594284457,,1736581562.9623332,,1736581533
move,901,515,1034.2418765594555,,1736581562.9663198,,1736581533
move,906,515,1002.9421329507413,,1736581562.9713051,,1736581533
move,910,515,364.61111835528317,,1736581562.9822757,,1736581533
move,916,515,1203.3003729559148,,1736581562.9882596,,1736581533
move,921,515,250.65761480171156,,1736581563.0072095,,1736581533
move,926,515,5014.710664753707,,1736581563.0092037,,1736581533
move,928,518,200.83103991824427,,1736581563.0261598,,1736581533
move,932,524,451.91184965586035,,1736581563.0431159,,1736581533
move,933,531,3544.2409186876926,,1736581563.0441117,,1736581533
move,933,537,668.4149800796813,,1736581563.0530882,,1736581533
move,934,546,2270.6425603174703,,1736581563.0570762,,1736581533
move,937,555,1358.5067093705914,,1736581563.0640595,,1736581533
move,937,562,501.1458027515106,,1736581563.0790248,,1736581533
move,938,567,853.0508532543685,,1736581563.0840049,,1736581533
move,938,572,294.8751406074241,,1736581563.1009612,,1736581533
move,938,574,125.337795840306,,1736581563.116918,,1736581533
move,939,574,22.78968072852144,,1736581563.1617956,,1736581533
move,941,574,222.8168295792605,,1736581563.1697736,,1736581533
move,946,573,5105.475756013433,,1736581563.1717687,,1736581533
move,950,568,458.5863260972875,,1736581563.184735,,1736581533
move,951,566,117.95684646332887,,1736581563.2046885,,1736581533
move,952,560,3059.10733955395,,1736581563.2056801,,1736581533
move,956,552,1490.6423272220413,,1736581563.2126615,,1736581533
move,957,545,443.5270156212686,,1736581563.2286172,,1736581533
move,960,539,3366.3850905596837,,1736581563.229616,,1736581533
move,963,532,1272.3200669567998,,1736581563.2356017,,1736581533
move,966,524,779.0636554055588,,1736581563.2465687,,1736581533
move,969,518,210.15077444167304,,1736581563.2794814,,1736581533
move,972,514,2512.763000239636,,1736581563.2804794,,1736581533
move,977,511,5855.107698433619,,1736581563.2814753,,1736581533
move,979,505,704.2906591878335,,1736581563.2904553,,1736581533
move,980,503,186.88350826540358,,1736581563.3034177,,1736581533
move,981,503,47.74447062573279,,1736581563.3233652,,1736581533
move,983,501,97.78505772363539,,1736581563.3522902,,1736581533
move,984,501,23.31969687703282,,1736581563.3951724,,1736581533
move,984,501,0.0,,1736581563.4430435,,1736581533
