key,event,time,press_duration,release_time,inter_key_interval,session_id
u,press,1736581557.637573,0.0009987354278564453,1736581557.6385717,0.1077117919921875,1736581533
s,press,1736581557.6515396,0.001990795135498047,1736581557.6535304,0.012967824935913086,1736581533
y,press,1736581557.6545293,0.0009949207305908203,1736581557.6555243,0.0009989738464355469,1736581533
a,press,1736581557.6575196,0.000997304916381836,1736581557.658517,0.0019953250885009766,1736581533
d,press,1736581557.7452846,0.0019948482513427734,1736581557.7472794,0.08676767349243164,1736581533
g,press,1736581557.7482765,0.0009970664978027344,1736581557.7492735,0.0009970664978027344,1736581533
f,press,1736581557.751269,0.0009984970092773438,1736581557.7522676,0.001995563507080078,1736581533
u,press,1736581557.834047,0.001994609832763672,1736581557.8360417,0.08177947998046875,1736581533
y,press,1736581557.8370442,0.0009922981262207031,1736581557.8380365,0.0010025501251220703,1736581533
d,press,1736581557.964698,0.0010023117065429688,1736581557.9657004,0.1266615390777588,1736581533
g,press,1736581558.027532,0.0009946823120117188,1736581558.0285268,0.06183171272277832,1736581533
f,press,1736581558.0305219,0.0009987354278564453,1736581558.0315206,0.001995086669921875,1736581533
y,press,1736581558.1222787,0.0009949207305908203,1736581558.1232736,0.09075808525085449,1736581533
d,press,1736581558.1831138,0.000997781753540039,1736581558.1841116,0.05984020233154297,1736581533
u,press,1736581558.2758672,0.000997304916381836,1736581558.2768645,0.09175562858581543,1736581533
y,press,1736581558.28185,0.0009970664978027344,1736581558.2828472,0.0049855709075927734,1736581533
f,press,1736581558.2848449,0.0009937286376953125,1736581558.2858386,0.001997709274291992,1736581533
s,press,1736581558.4703474,0.000997304916381836,1736581558.4713447,0.1845088005065918,1736581533
a,press,1736581558.5032625,0.0009922981262207031,1736581558.5042548,0.03191781044006348,1736581533
d,press,1736581558.5770612,0.0019927024841308594,1736581558.5790539,0.07280635833740234,1736581533
u,press,1736581558.6029916,0.0009992122650146484,1736581558.6039908,0.023937702178955078,1736581533
y,press,1736581558.605983,0.0009982585906982422,1736581558.6069813,0.0019922256469726562,1736581533
s,press,1736581558.706715,0.000997304916381836,1736581558.7077124,0.09973382949829102,1736581533
a,press,1736581558.7146943,0.0009953975677490234,1736581558.7156897,0.006981849670410156,1736581533
u,press,1736581558.7296562,0.001990795135498047,1736581558.731647,0.013966560363769531,1736581533
j,press,1736581558.733641,0.0019948482513427734,1736581558.7356358,0.001993894577026367,1736581533
y,press,1736581558.7366333,0.0019948482513427734,1736581558.7386281,0.0009975433349609375,1736581533
d,press,1736581558.8014598,0.000997304916381836,1736581558.802457,0.06283164024353027,1736581533
g,press,1736581558.8054495,0.0009968280792236328,1736581558.8064463,0.002992391586303711,1736581533
